218,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00218.log,
219,260549558,RandomHusPlayer,0,260549558,45,game00219.log,
220,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00220.log,
221,260549558,RandomHusPlayer,0,260549558,45,game00221.log,
222,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00222.log,
223,260549558,RandomHusPlayer,0,260549558,45,game00223.log,
224,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00224.log,
225,260549558,RandomHusPlayer,0,260549558,45,game00225.log,
226,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00226.log,
227,260549558,RandomHusPlayer,0,260549558,45,game00227.log,
228,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00228.log,
229,260549558,RandomHusPlayer,0,260549558,45,game00229.log,
230,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00230.log,
231,260549558,RandomHusPlayer,0,260549558,58,game00231.log,
232,RandomHusPlayer,260549558,0,RandomHusPlayer,57,game00232.log,
233,260549558,RandomHusPlayer,0,260549558,58,game00233.log,
234,RandomHusPlayer,260549558,0,RandomHusPlayer,57,game00234.log,
235,260549558,RandomHusPlayer,0,260549558,58,game00235.log,
236,RandomHusPlayer,260549558,0,RandomHusPlayer,57,game00236.log,
237,260549558,RandomHusPlayer,0,260549558,58,game00237.log,
238,RandomHusPlayer,260549558,0,RandomHusPlayer,57,game00238.log,
239,260549558,RandomHusPlayer,0,260549558,58,game00239.log,
240,RandomHusPlayer,260549558,0,RandomHusPlayer,57,game00240.log,
241,260549558,RandomHusPlayer,0,260549558,58,game00241.log,
242,RandomHusPlayer,260549558,0,RandomHusPlayer,57,game00242.log,
243,260549558,RandomHusPlayer,0,260549558,58,game00243.log,
244,RandomHusPlayer,260549558,0,RandomHusPlayer,57,game00244.log,
245,260549558,RandomHusPlayer,0,260549558,58,game00245.log,
246,RandomHusPlayer,260549558,0,RandomHusPlayer,57,game00246.log,
247,260549558,RandomHusPlayer,0,260549558,58,game00247.log,
248,RandomHusPlayer,260549558,1,260549558,48,game00248.log,
249,260549558,RandomHusPlayer,0,260549558,28,game00249.log,
250,RandomHusPlayer,260549558,1,260549558,48,game00250.log,
251,260549558,RandomHusPlayer,0,260549558,28,game00251.log,
252,RandomHusPlayer,260549558,1,260549558,48,game00252.log,
253,260549558,RandomHusPlayer,0,260549558,28,game00253.log,
254,RandomHusPlayer,260549558,1,260549558,48,game00254.log,
255,260549558,RandomHusPlayer,0,260549558,28,game00255.log,
256,RandomHusPlayer,260549558,1,260549558,48,game00256.log,
257,260549558,RandomHusPlayer,0,260549558,28,game00257.log,
258,RandomHusPlayer,260549558,1,260549558,48,game00258.log,
259,260549558,RandomHusPlayer,0,260549558,28,game00259.log,
